phoneme	description
!	voiceless palato-alveolar click
!?	glottalized voiceless palato-alveolar click
!h	voiceless aspirated palato-alveolar click
!xh	velar-fricated voiceless aspirated palato-alveolar click
"6	voiced dental/alveolar fricative
"@	mid central unrounded vowel
"@)	mid central rounded vowel
"@)S	overshort mid central rounded vowel
"@.	retroflexed mid central unrounded vowel
"@:	long mid central unrounded vowel
"@S	overshort mid central unrounded vowel
"@~	nasalized mid central unrounded vowel
"d	voiced dental/alveolar plosive
"d*	laryngealized voiced dental/alveolar plosive
"d9	pharyngealized voiced dental/alveolar plosive
"d<	voiced dental/alveolar implosive
"dJ	palatalized voiced dental/alveolar plosive
"dW	labialized voiced dental/alveolar plosive
"dh	breathy voiced dental/alveolar plosive
"dlF	voiced dental/alveolar lateral affricate
"dz	voiced dental/alveolar sibilant affricate
"dzJ	palatalized voiced dental/alveolar sibilant affricate
"dzh	breathy voiced dental/alveolar sibilant affricate
"e	mid front unrounded vowel
"e*	laryngealized mid front unrounded vowel
"e9	pharyngealized mid front unrounded vowel
"e:	long mid front unrounded vowel
"eS	overshort mid front unrounded vowel
"e_	mid retracted front unrounded vowel
"e~	nasalized mid front unrounded vowel
"e~*	laryngealized nasalized mid front unrounded vowel
"he	voiceless mid front unrounded vowel
"hl	voiceless dental/alveolar lateral approximant
"hlF	voiceless dental/alveolar lateral fricative
"hlF'	voiceless dental/alveolar lateral ejective fricative
"hlF:	long voiceless dental/alveolar lateral fricative
"hlFJ	palatalized voiceless dental/alveolar lateral fricative
"hlFW	labialized voiceless dental/alveolar lateral fricative
"hlFW:	long labialized voiceless dental/alveolar lateral fricative
"hn	voiceless dental/alveolar nasal
"ho	voiceless mid back rounded vowel
"hr	voiceless dental/alveolar trill
"hrA	voiceless dental/alveolar approximant
"hrr	voiceless dental/alveolar r-sound
"hs	voiceless preaspirated dental/alveolar sibilant fricative
"l	voiced dental/alveolar lateral approximant
"l*	laryngealized voiced dental/alveolar lateral approximant
"l-	velarized voiced dental/alveolar lateral approximant
